X_Coordinate(nm),Y_Coordinate(nm),Cr_Composition
40.128,0.13184,1
40.253,0.13179,1
40.378,0.13173,1
40.504,0.13169,1
40.629,0.13165,1
40.754,0.13162,1
40.879,0.1316,1
41.005,0.13159,1
41.13,0.13159,1
41.255,0.1316,1
41.38,0.13163,1
41.506,0.13166,1
41.631,0.13171,1
41.756,0.13177,1
41.882,0.13185,1
42.007,0.13194,1
42.132,0.13205,1
42.257,0.13219,1
42.383,0.13234,1
42.508,0.13251,0.993976226094477
42.633,0.1327,0.991990598828103
42.758,0.13291,0.987980367229429
42.883,0.13315,0.980800303285717
43.009,0.13341,0.977490037762774
43.134,0.13369,0.974701534534982
43.259,0.13399,0.970557368356852
43.384,0.13431,0.967389891334847
43.509,0.13465,0.965920812420951
43.634,0.13501,0.965038592980833
43.759,0.13538,0.965611470829589
43.884,0.13577,0.969745511077182
44.01,0.13617,0.972073706871196
44.134,0.13658,0.976408651036765
44.259,0.13699,0.980125824284891
44.384,0.13741,0.986243330333999
44.509,0.13782,0.990225392060751
44.634,0.13823,0.995346426716666
44.759,0.13863,1
44.884,0.13902,1
45.009,0.1394,1
45.133,0.13977,1
45.258,0.14011,1
45.383,0.14044,1
45.507,0.14074,1
45.632,0.14102,1
45.757,0.14127,1
45.881,0.14149,1
46.006,0.14169,1
46.13,0.14186,1
46.255,0.14199,1
46.379,0.14209,1
46.504,0.14216,1
46.628,0.1422,1
46.753,0.1422,1
46.877,0.14216,1
47.002,0.14209,1
47.126,0.14197,1
47.251,0.14182,1
47.375,0.14162,1
47.5,0.14138,1
47.624,0.14109,1
47.749,0.14076,1
47.873,0.14037,1
47.998,0.13993,1
48.122,0.13944,1
48.247,0.1389,1
48.372,0.13829,1
48.496,0.13763,1
48.621,0.1369,1
48.746,0.13611,1
48.871,0.13526,1
48.995,0.13435,1
49.12,0.13339,1
49.246,0.13237,1
49.371,0.1313,1
49.496,0.13019,1
49.622,0.12904,1
49.748,0.12785,1
49.874,0.12663,1
50,0.125,1
0,0.25,1
0.12627,0.25145,1
0.25238,0.25246,1
0.37835,0.25331,1
0.50423,0.25406,1
0.63003,0.25474,1
0.75576,0.25537,1
0.88144,0.25596,1
1.0071,0.2565,1
1.1327,0.25701,1
1.2583,0.25749,1
1.3838,0.25794,1
1.5094,0.25837,1
1.6349,0.25878,1
1.7604,0.25918,1
1.8859,0.25957,1
2.0114,0.25996,1
2.1369,0.26034,1
2.2624,0.26073,1
2.3879,0.26113,1
2.5134,0.26154,1
2.6388,0.26195,1
2.7643,0.26238,1
2.8898,0.26283,1
3.0152,0.26329,1
3.1407,0.26377,1
3.2661,0.26426,1
3.3915,0.26478,1
3.5169,0.26531,1
3.6423,0.26586,1
3.7677,0.26642,1
3.893,0.267,1
4.0183,0.26759,1
4.1436,0.2682,1
4.2689,0.26881,1
4.3942,0.26943,1
4.5194,0.27005,1
4.6446,0.27067,1
4.7698,0.27129,1
4.895,0.27191,1
5.0201,0.27251,1
5.1452,0.2731,1
5.2703,0.27368,1
5.3953,0.27424,1
5.5204,0.27478,1
5.6454,0.27529,1
5.7704,0.27577,1
5.8954,0.27623,1
6.0203,0.27665,1
6.1453,0.27704,1
6.2702,0.2774,1
6.3951,0.27772,1
6.5201,0.278,1
6.645,0.27824,1
6.7699,0.27844,1
6.8948,0.2786,1
7.0197,0.27872,1
7.1446,0.2788,1
7.2695,0.27883,1
7.3945,0.27883,1
7.5194,0.27878,1
7.6443,0.27869,1
7.7693,0.27856,1
7.8943,0.27839,1
8.0193,0.27818,1
8.1443,0.27792,1
8.2694,0.27763,1
8.3945,0.27731,1
8.5196,0.27694,1
8.6447,0.27654,1
8.7699,0.27611,1
8.8951,0.27565,1
9.0204,0.27516,1
9.1457,0.27465,1
9.271,0.27411,1
9.3964,0.27355,1
9.5218,0.27298,1
9.6473,0.27239,1
9.7728,0.27179,1
9.8984,0.27118,1
10.024,0.27057,1
10.15,0.26996,1
10.275,0.26935,1
10.401,0.26874,1
10.527,0.26815,1
10.653,0.26757,1
10.779,0.267,1
10.905,0.26644,1
11.031,0.26591,1
11.157,0.26539,1
11.283,0.2649,1
11.409,0.26442,1
11.535,0.26397,1
11.661,0.26354,1
11.787,0.26314,1
11.914,0.26275,1
12.04,0.26238,1
12.166,0.26203,1
12.292,0.2617,1
12.419,0.26139,1
12.545,0.26109,1
12.672,0.26081,1
12.798,0.26053,1
12.925,0.26027,1
13.051,0.26001,1
13.178,0.25976,1
13.304,0.25952,1
13.431,0.25927,1
13.558,0.25903,1
13.685,0.25879,1
13.811,0.25854,1
13.938,0.25829,1
14.065,0.25803,1
14.192,0.25777,1
14.319,0.25749,1
14.446,0.2572,1
14.573,0.25691,1
14.701,0.2566,1
14.828,0.25628,1
14.955,0.25594,1
15.083,0.2556,1
15.211,0.25524,1
15.338,0.25488,1
15.466,0.25452,1
15.594,0.25417,1
15.722,0.25384,1
15.85,0.25354,1
15.979,0.25331,1
16.108,0.25316,1
16.236,0.25314,1
16.365,0.25329,1
16.494,0.25367,1
16.623,0.25434,1
16.753,0.25536,1
16.882,0.25679,1
17.012,0.25865,0.997077265021367
17.141,0.26094,0.987469761349278
17.27,0.26362,0.972538710561269
17.4,0.26662,0.953313225846747
17.529,0.26983,0.930648302497226
17.658,0.27311,0.905142937132279
17.787,0.27635,0.87529827967794
17.916,0.27943,0.838134247237558
18.045,0.28228,0.799249326263113
18.174,0.28482,0.758245866038145
18.303,0.287,0.71377816639895
18.432,0.28872,0.669822815024421
18.56,0.28975,0.625002206170053
18.687,0.28961,0.578062741307339
18.811,0.28746,0.536889281384493
18.929,0.28229,0.493043836906825
19.04,0.27373,0.455065265121179
19.147,0.26263,0.419516474549207
19.253,0.25045,0.386657018833629
19.36,0.23849,0.359329313028587
19.468,0.22772,0.335962539089366
19.579,0.21879,0.314696285825591
19.691,0.21185,0.298457849328724
19.805,0.20671,0.283072306385511
19.921,0.20302,0.270558818624319
20.038,0.20042,0.259480390741571
20.155,0.19862,0.250763049233171
20.274,0.19744,0.242948092410293
20.392,0.19672,0.234094049304192
20.511,0.19638,0.226706527271358
20.63,0.19638,0.21916062708017
20.749,0.19671,0.219678854315174
20.868,0.19739,0.217935877279841
20.986,0.19847,0.220915810698021
21.104,0.20006,0.226535582202669
21.221,0.2023,0.237518543623465
21.338,0.20542,0.249623724416985
21.453,0.20971,0.268055179425248
21.567,0.21554,0.28942228213212
21.678,0.2232,0.31205024418499
21.788,0.23278,0.339659458076949
21.896,0.24396,0.368606487502928
22.002,0.256,0.397198431047915
22.108,0.26786,0.430947109586574
22.215,0.27824,0.464536204534568
22.328,0.28586,0.501540245561878
22.447,0.29023,0.539415660588018
22.571,0.29198,0.579069689480918
22.698,0.29208,0.624400014938215
22.827,0.29125,0.668117144629336
22.955,0.28988,0.712452910234103
23.084,0.28816,0.757778202343707
23.213,0.28615,0.801870645933941
23.341,0.28389,0.843970854690286
23.47,0.28142,0.881277349678726
23.598,0.27881,0.914527260626138
23.727,0.27612,0.943804650912987
23.856,0.27346,0.966277583868066
23.984,0.2709,0.985514748166681
24.113,0.26856,1
24.242,0.26649,1
24.371,0.26476,1
24.5,0.26337,1
24.629,0.26231,1
24.757,0.26155,1
24.886,0.26105,1
25.015,0.26075,1
25.143,0.26061,1
25.271,0.26058,1
25.399,0.26064,1
25.527,0.26074,1
25.655,0.26088,1
25.783,0.26104,1
25.91,0.26119,1
26.038,0.26135,1
26.165,0.2615,1
26.293,0.26163,1
26.42,0.26176,1
26.547,0.26187,1
26.674,0.26196,1
26.801,0.26205,1
26.928,0.26213,1
27.055,0.26219,1
27.182,0.26225,1
27.309,0.26231,1
27.436,0.26236,1
27.563,0.26241,1
27.689,0.26246,1
27.816,0.2625,1
27.943,0.26256,1
28.069,0.26261,1
28.196,0.26267,1
28.322,0.26274,1
28.449,0.26282,1
28.576,0.2629,1
28.702,0.26299,1
28.828,0.2631,1
28.955,0.26321,1
29.081,0.26333,1
29.208,0.26347,1
29.334,0.26362,1
29.46,0.26378,1
29.587,0.26396,1
29.713,0.26414,1
29.839,0.26434,1
29.965,0.26456,1
30.091,0.26478,1
30.217,0.26502,1
30.344,0.26526,1
30.47,0.26552,1
30.596,0.2658,1
30.722,0.26608,1
30.848,0.26637,1
30.974,0.26667,1
31.1,0.26697,1
31.226,0.26729,1
31.351,0.26761,1
31.477,0.26794,1
31.603,0.26826,1
31.729,0.2686,1
31.855,0.26893,1
31.98,0.26926,1
32.106,0.26959,1
32.232,0.26992,1
32.357,0.27024,1
32.483,0.27055,1
32.609,0.27086,1
32.734,0.27116,1
32.86,0.27145,1
32.985,0.27172,1
33.111,0.27198,1
33.236,0.27223,1
33.362,0.27245,1
33.487,0.27266,1
33.612,0.27286,1
33.738,0.27303,1
33.863,0.27317,1
33.988,0.2733,1
34.114,0.2734,1
34.239,0.27348,1
34.364,0.27354,1
34.49,0.27357,1
34.615,0.27358,1
34.74,0.27356,1
34.865,0.27352,1
34.991,0.27345,1
35.116,0.27336,1
35.241,0.27325,1
35.366,0.27311,1
35.492,0.27296,1
35.617,0.27278,1
35.742,0.27258,1
35.867,0.27236,1
35.993,0.27213,1
36.118,0.27188,1
36.243,0.27162,1
36.368,0.27134,1
36.494,0.27106,1
36.619,0.27076,1
36.744,0.27046,1
36.87,0.27015,1
36.995,0.26983,1
37.12,0.26952,1
37.246,0.2692,1
37.371,0.26888,1
37.496,0.26856,1
37.622,0.26825,1
37.747,0.26794,1
37.872,0.26763,1
37.998,0.26733,1
